Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5
D1,21/02/2025,19:30,Freiburg,Werder Bremen,2.0,3.5,3.75,1.98,1.92
D1,22/02/2025,14:30,Holstein Kiel,Leverkusen,11.0,6.0,1.25,1.4,3.0
D1,22/02/2025,14:30,Mainz,St Pauli,1.8,3.5,4.75,2.1,1.73
D1,22/02/2025,14:30,M'gladbach,Augsburg,1.85,3.75,4.0,1.73,2.1
D1,22/02/2025,14:30,Wolfsburg,Bochum,1.53,4.2,6.0,1.62,2.3
D1,22/02/2025,17:30,Dortmund,Union Berlin,1.53,4.5,5.5,1.62,2.3
D1,23/02/2025,14:30,RB Leipzig,Heidenheim,1.33,5.0,8.5,1.5,2.63
D1,23/02/2025,16:30,Bayern Munich,Ein Frankfurt,1.3,6.5,7.5,1.33,3.4
D1,23/02/2025,18:30,Hoffenheim,Stuttgart,3.5,3.9,1.95,1.5,2.63
E0,21/02/2025,20:00,Leicester,Brentford,3.6,3.8,1.91,1.57,2.38
E0,22/02/2025,12:30,Everton,Man United,2.5,3.2,2.9,2.2,1.67
E0,22/02/2025,15:00,Arsenal,West Ham,1.27,6.0,10.0,1.67,2.2
E0,22/02/2025,15:00,Bournemouth,Wolves,1.53,4.5,5.5,1.57,2.38
E0,22/02/2025,15:00,Fulham,Crystal Palace,2.05,3.4,3.7,2.02,1.88
E0,22/02/2025,15:00,Ipswich,Tottenham,4.1,3.6,1.9,1.53,2.5
E0,22/02/2025,15:00,Southampton,Brighton,6.0,4.1,1.55,1.57,2.38
E0,22/02/2025,17:30,Aston Villa,Chelsea,2.63,3.4,2.6,1.57,2.38
E0,23/02/2025,14:00,Newcastle,Nott'm Forest,1.8,3.8,4.2,1.67,2.2
E0,23/02/2025,16:30,Man City,Liverpool,2.88,3.8,2.25,1.4,3.0
F1,21/02/2025,19:45,Rennes,Reims,2.15,3.4,3.4,2.0,1.9
F1,22/02/2025,16:00,Lille,Monaco,2.15,3.7,3.1,1.62,2.3
F1,22/02/2025,18:00,St Etienne,Angers,2.4,3.3,3.0,2.0,1.8
F1,22/02/2025,20:05,Auxerre,Marseille,5.5,4.33,1.55,1.62,2.3
F1,23/02/2025,14:00,Nantes,Lens,3.7,3.4,2.05,2.08,1.82
F1,23/02/2025,16:15,Le Havre,Toulouse,4.0,3.4,1.95,2.1,1.73
F1,23/02/2025,16:15,Nice,Montpellier,1.38,5.0,7.5,1.5,2.63
F1,23/02/2025,16:15,Strasbourg,Brest,2.0,3.6,3.6,1.8,2.0
F1,23/02/2025,19:45,Lyon,Paris SG,4.2,4.33,1.7,1.4,3.0
I1,21/02/2025,19:45,Lecce,Udinese,3.0,3.0,2.6,2.3,1.62
I1,22/02/2025,14:00,Parma,Bologna,4.0,3.5,1.91,1.91,1.99
I1,22/02/2025,14:00,Venezia,Lazio,5.0,4.0,1.67,1.8,2.0
I1,22/02/2025,17:00,Torino,Milan,3.9,3.3,2.0,2.1,1.73
I1,22/02/2025,19:45,Inter,Genoa,1.27,5.25,13.0,1.67,2.2
I1,23/02/2025,11:30,Como,Napoli,3.6,3.0,2.25,2.2,1.67
I1,23/02/2025,14:00,Verona,Fiorentina,4.33,3.4,1.9,2.03,1.87
I1,23/02/2025,17:00,Empoli,Atalanta,6.25,3.9,1.57,1.8,2.0
I1,23/02/2025,19:45,Cagliari,Juventus,4.1,3.5,1.9,2.03,1.87
I1,24/02/2025,19:45,Roma,Monza,1.33,4.75,11.0,1.73,2.1
SP1,21/02/2025,20:00,Celta,Osasuna,1.67,3.75,5.25,1.99,1.91
SP1,22/02/2025,13:00,Alaves,Espanol,1.8,3.25,5.25,2.63,1.5
SP1,22/02/2025,15:15,Vallecano,Villarreal,2.88,3.5,2.38,1.8,2.0
SP1,22/02/2025,17:30,Valencia,Ath Madrid,4.2,3.4,1.91,2.2,1.67
SP1,22/02/2025,20:00,Las Palmas,Barcelona,8.5,7.0,1.25,1.3,3.5
SP1,23/02/2025,13:00,Ath Bilbao,Valladolid,1.17,7.0,19.0,1.62,2.3
SP1,23/02/2025,15:15,Real Madrid,Girona,1.29,6.25,8.5,1.4,3.0
SP1,23/02/2025,17:30,Getafe,Betis,2.6,3.1,2.9,2.63,1.5
SP1,23/02/2025,20:00,Sociedad,Leganes,1.55,3.75,7.0,2.5,1.53
SP1,24/02/2025,20:00,Sevilla,Mallorca,2.05,3.2,3.9,2.63,1.5
