Div,Date,Weekday,Time,HomeTeam,AwayTeam,Prediction,Actual_Result,Score,Prediction_Correct,B365H,B365D,B365A,Prob_H,Prob_D,Prob_A,double_chance,1X_odds,X2_odds,DC_1X_Correct,DC_X2_Correct,High_conf,High_conf_dc
D1,2025-02-21,Friday,20:30,Freiburg,Werder Bremen,H,H,5:0,True,2.0,3.5,3.75,0.8824,0.0422,0.0754,1X,1.27,1.81,True,False,1,1
I1,2025-02-21,Friday,20:45,Lecce,Udinese,H,A,0:1,False,3.0,3.0,2.6,0.5241,0.3837,0.0922,1X,1.5,1.39,False,True,0,1
F1,2025-02-21,Friday,20:45,Rennes,Reims,H,H,1:0,True,2.15,3.4,3.4,0.7284,0.1153,0.1563,1X,1.32,1.7,True,False,1,0
SP1,2025-02-21,Friday,21:00,Celta,Osasuna,D,H,1:0,False,1.67,3.75,5.25,0.0572,0.4731,0.4697,X2,1.16,2.19,True,False,0,1
E0,2025-02-21,Friday,21:00,Leicester,Brentford,D,A,0:4,False,3.6,3.8,1.91,0.4518,0.4584,0.0898,1X,1.85,1.27,False,True,0,1
E0,2025-02-22,Saturday,13:30,Everton,Man United,A,D,2:2,False,2.5,3.2,2.9,0.0427,0.0401,0.9172,X2,1.4,1.52,True,True,1,1
SP1,2025-02-22,Saturday,14:00,Alaves,Espanol,H,A,0:1,False,1.8,3.25,5.25,0.6271,0.1136,0.2593,1X,1.16,2.01,False,True,0,0
I1,2025-02-22,Saturday,15:00,Venezia,Lazio,A,D,0:0,False,5.0,4.0,1.67,0.0351,0.0489,0.916,X2,2.22,1.18,True,True,1,1
I1,2025-02-22,Saturday,15:00,Parma,Bologna,A,H,2:0,False,4.0,3.5,1.91,0.0292,0.4819,0.4889,X2,1.87,1.24,True,False,0,1
D1,2025-02-22,Saturday,15:30,Holstein Kiel,Leverkusen,A,A,0:2,True,11.0,6.0,1.25,0.1492,0.104,0.7468,X2,3.88,1.03,False,True,1,0
D1,2025-02-22,Saturday,15:30,Mainz,St Pauli,A,H,2:0,False,1.8,3.5,4.75,0.2138,0.1196,0.6666,X2,1.19,2.02,True,False,0,0
D1,2025-02-22,Saturday,15:30,M'gladbach,Augsburg,H,A,0:3,False,1.85,3.75,4.0,0.4407,0.2617,0.2977,1X,1.24,1.94,False,True,0,0
D1,2025-02-22,Saturday,15:30,Wolfsburg,Bochum,H,D,1:1,False,1.53,4.2,6.0,0.7729,0.0314,0.1958,1X,1.12,2.47,True,True,1,0
E0,2025-02-22,Saturday,16:00,Ipswich,Tottenham,A,A,1:4,True,4.1,3.6,1.9,0.071,0.0837,0.8453,X2,1.92,1.24,False,True,1,1
E0,2025-02-22,Saturday,16:00,Southampton,Brighton,A,A,0:4,True,6.0,4.1,1.55,0.0278,0.3294,0.6428,X2,2.44,1.12,False,True,0,1
E0,2025-02-22,Saturday,16:00,Arsenal,West Ham,H,A,0:1,False,1.27,6.0,10.0,0.6488,0.1542,0.197,1X,1.05,3.75,False,True,0,0
E0,2025-02-22,Saturday,16:00,Bournemouth,Wolves,D,A,0:1,False,1.53,4.5,5.5,0.0273,0.6524,0.3203,X2,1.14,2.48,False,True,0,1
E0,2025-02-22,Saturday,16:00,Fulham,Crystal Palace,D,A,0:2,False,2.05,3.4,3.7,0.0455,0.784,0.1705,X2,1.28,1.77,False,True,0,1
SP1,2025-02-22,Saturday,16:15,Vallecano,Villarreal,H,A,0:1,False,2.88,3.5,2.38,0.4441,0.3799,0.1761,1X,1.58,1.42,False,True,0,0
F1,2025-02-22,Saturday,17:00,Lille,Monaco,H,H,2:1,True,2.15,3.7,3.1,0.7191,0.2133,0.0676,1X,1.36,1.69,True,False,1,1
I1,2025-02-22,Saturday,18:00,Torino,Milan,H,H,2:1,True,3.9,3.3,2.0,0.5394,0.0773,0.3833,1X,1.79,1.25,True,False,0,0
SP1,2025-02-22,Saturday,18:30,Valencia,Ath Madrid,A,A,0:3,True,4.2,3.4,1.91,0.3879,0.1171,0.4949,X2,1.88,1.22,False,True,0,0
E0,2025-02-22,Saturday,18:30,Aston Villa,Chelsea,A,H,2:1,False,2.63,3.4,2.6,0.0936,0.056,0.8504,X2,1.48,1.47,True,False,1,1
D1,2025-02-22,Saturday,18:30,Dortmund,Union Berlin,H,H,6:0,True,1.53,4.5,5.5,0.8415,0.0633,0.0953,1X,1.14,2.48,True,False,1,1
F1,2025-02-22,Saturday,19:00,St Etienne,Angers,D,D,3:3,True,2.4,3.3,3.0,0.0203,0.6088,0.371,X2,1.39,1.57,True,True,0,1
I1,2025-02-22,Saturday,20:45,Inter,Genoa,H,H,1:0,True,1.27,5.25,13.0,0.5982,0.322,0.0798,1X,1.02,3.74,True,False,0,1
SP1,2025-02-22,Saturday,21:00,Las Palmas,Barcelona,A,A,0:2,True,8.5,7.0,1.25,0.0314,0.0535,0.9151,X2,3.84,1.06,False,True,1,1
F1,2025-02-22,Saturday,21:05,Auxerre,Marseille,A,H,3:0,False,5.5,4.33,1.55,0.0217,0.033,0.9452,X2,2.42,1.14,True,False,1,1
I1,2025-02-23,Sunday,12:30,Como,Napoli,A,H,2:1,False,3.6,3.0,2.25,0.0864,0.0853,0.8283,X2,1.64,1.29,True,False,1,1
SP1,2025-02-23,Sunday,14:00,Ath Bilbao,Valladolid,H,H,7:1,True,1.17,7.0,19.0,0.5759,0.3739,0.0502,1X,1.0,5.12,True,False,0,1
I1,2025-02-23,Sunday,15:00,Verona,Fiorentina,A,H,1:0,False,4.33,3.4,1.9,0.0563,0.0263,0.9174,X2,1.9,1.22,True,False,1,1
F1,2025-02-23,Sunday,15:00,Nantes,Lens,A,H,3:1,False,3.7,3.4,2.05,0.0541,0.4166,0.5293,X2,1.77,1.28,True,False,0,1
E0,2025-02-23,Sunday,15:00,Newcastle,Nott'm Forest,H,H,4:3,True,1.8,3.8,4.2,0.7248,0.0333,0.2419,1X,1.22,2.0,True,False,1,0
D1,2025-02-23,Sunday,15:30,RB Leipzig,Heidenheim,H,D,2:2,False,1.33,5.0,8.5,0.9014,0.0194,0.0791,1X,1.05,3.15,True,True,1,1
SP1,2025-02-23,Sunday,16:15,Real Madrid,Girona,A,H,2:0,False,1.29,6.25,8.5,0.1367,0.4225,0.4407,X2,1.07,3.6,True,False,0,0
F1,2025-02-23,Sunday,17:15,Strasbourg,Brest,D,D,0:0,True,2.0,3.6,3.6,0.0695,0.7142,0.2164,X2,1.29,1.8,True,True,0,1
F1,2025-02-23,Sunday,17:15,Nice,Montpellier,H,H,2:0,True,1.38,5.0,7.5,0.4606,0.413,0.1264,1X,1.08,3.0,True,False,0,0
F1,2025-02-23,Sunday,17:15,Le Havre,Toulouse,A,A,1:4,True,4.0,3.4,1.95,0.0693,0.0609,0.8698,X2,1.84,1.24,False,True,1,1
E0,2025-02-23,Sunday,17:30,Man City,Liverpool,H,A,0:2,False,2.88,3.8,2.25,0.5922,0.2265,0.1813,1X,1.64,1.41,False,True,0,0
D1,2025-02-23,Sunday,17:30,Bayern Munich,Ein Frankfurt,D,H,4:0,False,1.3,6.5,7.5,0.1581,0.5147,0.3272,X2,1.08,3.48,True,False,0,0
I1,2025-02-23,Sunday,18:00,Empoli,Atalanta,A,A,0:5,True,6.25,3.9,1.57,0.0319,0.0277,0.9403,X2,2.4,1.12,False,True,1,1
SP1,2025-02-23,Sunday,18:30,Getafe,Betis,D,A,1:2,False,2.6,3.1,2.9,0.0545,0.5317,0.4138,X2,1.41,1.5,False,True,0,1
D1,2025-02-23,Sunday,19:30,Hoffenheim,Stuttgart,D,D,1:1,True,3.5,3.9,1.95,0.0521,0.687,0.2608,X2,1.84,1.3,True,True,0,1
I1,2025-02-23,Sunday,20:45,Cagliari,Juventus,A,A,0:1,True,4.1,3.5,1.9,0.0337,0.0358,0.9305,X2,1.89,1.23,False,True,1,1
F1,2025-02-23,Sunday,20:45,Lyon,Paris SG,A,A,2:3,True,4.2,4.33,1.7,0.0537,0.1078,0.8386,X2,2.13,1.22,False,True,1,1
SP1,2025-02-23,Sunday,21:00,Sociedad,Leganes,D,H,3:0,False,1.55,3.75,7.0,0.1112,0.4531,0.4357,X2,1.1,2.44,True,False,0,1
I1,2025-02-24,Monday,20:45,Roma,Monza,H,H,4:0,True,1.33,4.75,11.0,0.6598,0.26,0.0801,1X,1.04,3.32,True,False,0,1
SP1,2025-02-24,Monday,21:00,Sevilla,Mallorca,H,D,1:1,False,2.05,3.2,3.9,0.7363,0.0405,0.2233,1X,1.25,1.76,True,True,1,0
